feature,mi
late_rate,0.039963778889061885
total_late_counts,0.03772105367192724
any_late,0.03072507569034766
perc_premium_paid_by_cash_credit,0.025403989125725834
Count_6-12_months_late,0.02402473773510949
Count_3-6_months_late,0.022293532789230186
Count_more_than_12_months_late,0.016199498638904908
residence_area_type,0.012282850344197183
age_in_days,0.005774927329750046
age_years,0.004052249122048046
application_underwriting_score,0.0033017249496287704
no_of_premiums_paid,0.0027736845852215364
premium,0.0019005335467663365
income_log,0.0017963500990483272
sourcing_channel,0.0016605280438302117
Income,0.001624877828067195
premium_to_income,0.0
high_underwriting_flag,0.0
